fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
12,22,1,6,6,8,4,9,8,1,0,3,3,31,114,14,36,11,20,4,10,1,2,0,7,8,2,0,3,5,27,121,15,37
10,22,2,5,1,3,0,12,8,2,8,3,4,23,106,29,36,7,22,3,8,5,5,0,11,5,0,2,3,3,22,99,13,37
11,23,4,9,3,3,3,8,9,0,1,2,1,29,104,15,39,12,24,3,10,0,0,3,8,7,2,2,3,5,27,115,23,37
8,18,2,7,2,4,0,14,3,2,1,6,6,20,101,17,37,7,23,4,14,4,5,1,11,6,3,0,3,3,22,89,16,35
13,24,4,6,1,1,2,7,10,0,0,3,5,31,120,24,38,12,23,4,9,3,4,3,8,4,1,1,3,4,31,113,20,36
11,27,2,6,2,4,3,10,7,2,3,0,2,26,99,12,36,7,23,2,8,1,2,2,12,4,0,4,6,4,17,94,25,34
10,21,6,13,5,7,2,8,6,0,1,1,4,31,115,8,37,11,23,3,6,4,6,2,8,7,1,2,0,6,29,123,25,36
15,28,5,9,1,1,3,10,9,3,2,2,6,36,126,12,37,13,25,4,6,5,6,2,10,4,2,0,3,4,35,128,24,36
11,17,5,8,6,8,0,7,7,2,0,4,3,33,118,23,36,10,25,3,8,4,4,6,5,8,3,1,3,5,27,110,13,37
11,23,4,7,1,1,2,14,7,0,0,3,2,27,126,15,35,9,24,4,14,0,0,1,9,4,2,2,1,2,22,104,32,38
11,23,1,5,3,3,0,8,7,1,1,3,5,26,111,14,37,7,20,0,8,5,6,3,12,5,2,2,5,4,19,98,9,38
12,21,3,6,2,2,3,10,7,2,3,4,5,29,113,10,37,11,27,2,7,3,4,5,6,6,1,0,2,2,27,115,14,38
